time,city,time_dummy,city_dummy,edu_year,diff,labor,labor_time,人口自然增长率,文盲人数,illiteracy,urbanization,年末常住人口,人口总数,PERGDP,edu_install,edu_con,elec,GDP
2005,安徽,0,0,7.038595091,0,-0.0627723,0,6.2,119875,0.001958742,0.491533783,6120,5972.75,8670,252.4901,0.003879192,582.16,65088.32
2006,安徽,0,0,7.337275647,0,-0.064633987,0,6.3,7292,0.000119345,0.478606965,6110,5688,10044,277.57,0.01177756,662.18,23567.7
2007,安徽,0,0,7.244981996,0,-0.062190671,0,6.35,7489,0.000122409,0.46492986,6118,5624.7,12039,345.1326,0.022948592,769.1,15039.38
2008,安徽,0,0,7.440297782,0,-0.061721314,0,6.45,6424,0.000104711,0.4480563,6135,5549.8,14448,438.3732,0.031758948,858.88,13803.14
2009,安徽,0,0,7.621315327,0,-0.065351997,0,6.47,5889,9.61E-05,0.430082256,6131,5463.8,16408,487.3316,0.017023745,952.31,28626.58
2010,安徽,0,0,7.46254,0,-0.095880362,0,6.75,4707,7.90E-05,0.420975371,5957,5281.35,20888,599.0868,0.033713022,1077.91,17770.19
2011,安徽,1,0,8.248305607,0,-0.061353433,-0.061353433,6.32,3525,5.91E-05,0.405052975,5968,5098.9,25659,817.201,0.064036488,1221.19,12761.49
2012,安徽,1,0,8.516344838,0,-0.065248794,-0.065248794,6.86,3385,5.65E-05,0.387054593,5988,4996.3,28792,929.25265,0.031584511,1361.1,29421.15
2013,安徽,1,0,8.524480112,0,-0.061185972,-0.061185972,6.82,3014,5.00E-05,0.371031097,6030,4976.5,32001,1041.3043,0.066211543,1528.1,15726.93
2014,安徽,1,0,8.728227581,0,-0.060910614,-0.060910614,6.97,2980,4.90E-05,0.355065359,6083,5020.1,34425,1045.7811,0.049026742,1585.18,21330.83
2005,北京,0,0,10.68579576,0,-0.001371811,0,1.09,7152,0.00046502,0.836150845,1538,1425.35,45444,522.7188,0.033351781,570.54,15672.89
2006,北京,0,0,10.95010531,0,0.028062289,0,1.29,575,3.59E-05,0.843222986,1601,1429.4,49505,337.4329,0.004976163,611.57,67809.85
2007,北京,0,0,11.08531178,0,0.012845721,0,3.4,440,2.63E-05,0.844868735,1676,1455.4,60096,407.7284,0.015080208,667.01,27037.32
2008,北京,0,0,10.96959221,0,0.022482578,0,3.42,416,2.35E-05,0.849237719,1771,1481.3,64491,469.0166,0.017130386,689.72,27379.22
2009,北京,0,0,11.17256699,0,0.015254094,0,3.5,374,2.01E-05,0.85,1860,1509.6,66940,528.9432,0.015139377,739.15,34938.24
2010,北京,0,0,11.00918223,0,0.02413871,0,3.07,323,1.65E-05,0.859327217,1962,1617.1,73856,613.4448,0.010322733,809.9,59426.59
2011,北京,1,0,11.55496938,0,-0.011148012,-0.011148012,4.02,272,1.35E-05,0.861812779,2019,1724.6,81658,737.3843,0.046923427,821.71,15714.63
2012,北京,1,0,11.83632273,0,-0.022635265,-0.022635265,4.74,229,1.11E-05,0.862252296,2069,1726.6,87475,868.61045,0.036108211,874.3,24055.76
2013,北京,1,0,12.02835686,0,-0.021867037,-0.021867037,4.41,239,1.13E-05,0.862884161,2115,1745.4,94648,999.8366,0.047956669,913.1,20848.75
2014,北京,1,0,11.85417162,0,-0.03080591,-0.03080591,4.83,236,1.10E-05,0.8633829,2152,1775.7,99995,1093.7374,0.027225664,937.05,40173.03
2005,福建,0,1,7.542981633,0,-0.060574565,0,5.98,49279,0.001385409,0.617971624,3557,3345.15,18646,250.5241,0.091030159,756.59,2752.1
2006,福建,0,1,7.726284971,0,-0.054628198,0,6.25,3049,8.50E-05,0.607578166,3585,3285.5,21152,277.1266,0.120316152,866.84,2303.32
2007,福建,0,1,7.746832144,0,-0.052468619,0,6,3022,8.37E-05,0.596051227,3612,3275.4,25582,332.2233,0.048593249,1000.33,6836.82
2008,福建,0,1,7.803859371,0,-0.055524917,0,6.3,2773,7.62E-05,0.580913978,3639,3248.4,29755,389.8541,0.022038181,1073.55,17689.94
2009,福建,0,1,8.346369465,0,-0.054580379,0,6.2,2255,6.15E-05,0.571080422,3666,3209.7,33437,447.9126,0.486422684,1134.92,920.83
